t,event,target,eye_az,head_yaw,neck_ry,head_ry,total_az
0.000,,CHAT,0.000,0.000,0.400,0.683,0.000
0.033,,CHAT,8.095,0.000,0.400,0.685,8.095
0.067,,CHAT,19.368,0.001,0.400,0.755,19.368
0.100,,CHAT,19.455,0.040,0.428,0.739,19.496
0.133,,CHAT,19.293,0.203,0.538,0.795,19.496
0.167,,CHAT,18.959,0.537,0.765,0.823,19.496
0.200,,CHAT,18.439,1.057,1.119,1.004,19.496
0.233,,CHAT,17.747,1.748,1.589,1.238,19.496
0.267,,CHAT,16.921,2.575,2.151,1.520,19.496
0.300,,CHAT,16.011,3.484,2.769,1.797,19.496
0.333,,CHAT,15.079,4.417,3.403,2.057,19.496
0.367,,CHAT,14.187,5.309,4.010,2.335,19.496
0.400,,CHAT,13.395,6.101,4.549,2.563,19.496
0.433,,CHAT,12.750,6.746,4.987,2.752,19.496
0.467,,CHAT,12.283,7.213,5.305,2.846,19.496
0.500,,CHAT,12.001,7.494,5.496,2.928,19.496
0.533,,CHAT,11.881,7.615,5.578,2.960,19.496
0.567,,CHAT,11.861,7.634,5.591,2.989,19.496
0.600,,CHAT,11.861,7.634,5.591,2.990,19.496
0.633,,CHAT,11.988,7.508,5.505,2.927,19.496
0.667,,CHAT,12.109,7.387,5.423,2.858,19.496
0.700,,CHAT,12.225,7.271,5.344,2.848,19.496
0.733,,CHAT,12.336,7.160,5.269,2.910,19.496
0.767,,CHAT,12.442,7.054,5.197,2.861,19.496
0.800,,CHAT,12.543,6.952,5.128,2.913,19.496
0.833,,CHAT,12.640,6.855,5.062,2.868,19.496
0.867,,CHAT,12.733,6.763,4.999,2.803,19.496
0.900,,CHAT,12.821,6.674,4.938,2.724,19.496
0.933,,CHAT,12.906,6.590,4.881,2.626,19.496
0.967,,CHAT,12.986,6.509,4.826,2.627,19.496
1.000,,CHAT,13.063,6.433,4.774,2.653,19.496
1.033,,CHAT,13.136,6.360,4.725,2.646,19.496
1.067,,CHAT,13.205,6.291,4.678,2.667,19.496
1.100,,CHAT,13.271,6.225,4.633,2.627,19.496
1.133,,CHAT,13.333,6.162,4.590,2.656,19.496
1.167,,CHAT,13.393,6.103,4.550,2.640,19.496
1.200,,CHAT,13.449,6.047,4.512,2.568,19.496
1.233,,CHAT,13.502,5.993,4.476,2.515,19.496
1.267,,CHAT,13.552,5.943,4.441,2.505,19.496
1.300,,CHAT,13.600,5.896,4.409,2.507,19.496
1.333,,CHAT,13.644,5.851,4.379,2.518,19.496
1.367,,CHAT,13.687,5.809,4.350,2.491,19.496
1.400,,CHAT,13.726,5.769,4.323,2.474,19.496
1.433,,CHAT,13.763,5.732,4.298,2.380,19.496
1.467,,CHAT,13.798,5.697,4.274,2.382,19.496
1.500,,CHAT,13.831,5.665,4.252,2.350,19.496
1.533,,CHAT,13.861,5.635,4.232,2.357,19.496
1.567,,CHAT,13.889,5.606,4.212,2.311,19.496
1.600,,CHAT,13.915,5.580,4.195,2.243,19.496
1.633,,CHAT,13.939,5.556,4.178,2.260,19.496
1.667,,CHAT,13.962,5.534,4.163,2.208,19.496
1.700,,CHAT,13.982,5.513,4.149,2.213,19.496
1.733,,CHAT,14.001,5.495,4.136,2.216,19.496
1.767,,CHAT,14.018,5.478,4.125,2.239,19.496
1.800,,CHAT,14.033,5.462,4.114,2.305,19.496
1.833,,CHAT,14.047,5.449,4.105,2.292,19.496
1.867,,CHAT,14.059,5.436,4.097,2.331,19.496
1.900,,CHAT,14.070,5.426,4.089,2.369,19.496
1.933,,CHAT,14.079,5.416,4.083,2.412,19.496
1.967,,CHAT,14.087,5.408,4.078,2.439,19.496
2.000,,CHAT,14.094,5.401,4.073,2.400,19.496
2.033,,CHAT,14.100,5.396,4.069,2.402,19.496
2.067,,CHAT,14.104,5.392,4.066,2.370,19.496
2.100,,CHAT,14.107,5.388,4.064,2.403,19.496
2.133,,CHAT,14.109,5.386,4.063,2.385,19.496
2.167,,CHAT,14.110,5.385,4.062,2.387,19.496
2.200,,CHAT,14.110,5.385,4.062,2.413,19.496
2.233,,CHAT,14.109,5.386,4.063,2.382,19.496
2.267,,CHAT,14.107,5.388,4.064,2.373,19.496
2.300,,CHAT,14.104,5.391,4.066,2.377,19.496
2.333,,CHAT,14.101,5.395,4.068,2.386,19.496
2.367,,CHAT,14.096,5.399,4.071,2.361,19.496
2.400,,CHAT,14.091,5.404,4.075,2.389,19.496
2.433,,CHAT,14.085,5.410,4.079,2.358,19.496
2.467,,CHAT,14.078,5.417,4.084,2.374,19.496
2.500,,CHAT,14.071,5.424,4.089,2.377,19.496
2.533,,CHAT,14.063,5.432,4.094,2.463,19.496
2.567,,CHAT,14.054,5.441,4.100,2.473,19.496
2.600,,CHAT,14.045,5.450,4.106,2.463,19.496
2.633,,CHAT,14.035,5.460,4.113,2.481,19.496
2.667,,CHAT,14.025,5.470,4.120,2.473,19.496
2.700,,CHAT,14.014,5.481,4.127,2.479,19.496
2.733,,CHAT,14.003,5.493,4.135,2.489,19.496
2.767,,CHAT,13.991,5.504,4.143,2.497,19.496
2.800,,CHAT,13.979,5.517,4.151,2.504,19.496
2.833,,CHAT,13.966,5.529,4.160,2.547,19.496
2.867,,CHAT,13.953,5.542,4.169,2.534,19.496
2.900,,CHAT,13.940,5.556,4.178,2.535,19.496
2.933,,CHAT,13.926,5.569,4.187,2.608,19.496
2.967,,CHAT,13.912,5.583,4.197,2.542,19.496
3.000,,CHAT,13.898,5.598,4.206,2.554,19.496
3.033,,CHAT,13.883,5.612,4.216,2.599,19.496
3.067,,CHAT,13.868,5.627,4.226,2.628,19.496
3.100,,CHAT,13.853,5.642,4.237,2.580,19.496
3.133,,CHAT,13.838,5.658,4.247,2.567,19.496
3.167,,CHAT,13.822,5.673,4.258,2.518,19.496
3.200,,CHAT,13.807,5.689,4.268,2.517,19.496
3.233,,CHAT,13.791,5.705,4.279,2.549,19.496
3.267,,CHAT,13.774,5.721,4.290,2.561,19.496
3.300,,CHAT,13.758,5.737,4.301,2.652,19.496
3.333,,CHAT,13.742,5.754,4.313,2.640,19.496
3.367,,CHAT,13.725,5.770,4.324,2.633,19.496
3.400,,CHAT,13.708,5.787,4.335,2.650,19.496
3.433,,CHAT,13.692,5.804,4.347,2.624,19.496
3.467,,CHAT,13.675,5.821,4.358,2.549,19.496
3.500,,CHAT,13.658,5.838,4.370,2.524,19.496
3.533,,CHAT,13.641,5.855,4.381,2.590,19.496
3.567,,CHAT,13.624,5.872,4.393,2.619,19.496
3.600,,CHAT,13.607,5.889,4.405,2.623,19.496
3.633,,CHAT,13.589,5.906,4.416,2.635,19.496
3.667,,CHAT,13.572,5.923,4.428,2.649,19.496
3.700,,CHAT,13.555,5.941,4.440,2.658,19.496
3.733,,LENS,13.538,5.958,4.451,2.696,19.496
3.767,,LENS,5.258,5.958,4.451,2.747,11.216
3.800,,LENS,-6.266,5.954,4.448,2.795,-0.312
3.833,,LENS,-6.321,5.878,4.397,2.788,-0.443
3.867,,LENS,-6.093,5.650,4.242,2.722,-0.443
3.900,,LENS,-5.679,5.236,3.961,2.604,-0.443
