t_seconds,timestamp,kind,detail,magnitude
0.033,00:00.033,attention,CHAT az=+19.0 el=-7.7 share=0.16,20.7301
2.500,00:02.500,attention,LENS az=-0.1 el=+0.1 share=0.00,20.5948
4.067,00:04.067,blink,dur=212ms depth=0.99,0.9867
6.767,00:06.767,blink,dur=223ms depth=0.96,0.9638
8.733,00:08.733,head_pitch,"to=(+1.03,+1.15,+0.37)deg dur=0.77s",1.1453
9.600,00:09.600,attention,MAIN_DISPLAY az=-3.0 el=-4.9 share=0.00,5.7789
9.933,00:09.933,blink,dur=289ms depth=1.00,0.9981
14.400,00:14.400,attention,MIDDLE_DISTANCE az=+11.5 el=+9.3 share=0.01,20.2903
16.500,00:16.500,blink,dur=150ms depth=1.00,0.9993
17.500,00:17.500,attention,LENS az=+0.1 el=+0.6 share=0.00,14.3550
18.233,00:18.233,blink,dur=243ms depth=0.99,0.9948
21.800,00:21.800,attention,CHAT az=+17.7 el=-5.2 share=0.13,18.5009
22.200,00:22.200,blink,dur=160ms depth=0.98,0.9820
22.467,00:22.467,double_blink_second,dur=153ms depth=1.00,0.9955
24.567,00:24.567,attention,LENS az=-0.4 el=+0.6 share=0.00,19.0168
25.800,00:25.800,blink,dur=196ms depth=1.00,0.9994
26.800,00:26.800,expression,brow_tension peak=0.095 dur=2.19s,0.0951
30.367,00:30.367,blink,dur=188ms depth=0.98,0.9805
31.233,00:31.233,attention,MAIN_DISPLAY az=-1.5 el=-3.9 share=0.00,4.6424
31.500,00:31.500,blink,dur=255ms depth=0.98,0.9819
37.867,00:37.867,attention,CHAT az=+16.7 el=-4.4 share=0.11,18.2070
38.700,00:38.700,attention,MIDDLE_DISTANCE az=+6.5 el=+7.3 share=0.00,15.5787
39.067,00:39.067,blink,dur=247ms depth=0.97,0.9685
42.167,00:42.167,blink_partial,dur=281ms depth=0.81,0.8052
43.333,00:43.333,blink,dur=206ms depth=0.99,0.9923
45.200,00:45.200,blink,dur=216ms depth=0.99,0.9859
45.767,00:45.767,posture_shift,"to=(+0.0086,-0.0094) dur=1.62s",0.0180
48.067,00:48.067,attention,LENS az=+0.5 el=+0.5 share=0.00,9.0745
48.900,00:48.900,blink,dur=211ms depth=0.99,0.9892
50.300,00:50.300,state_change,IDLE_ATTENTIVE -> IDLE_RELAXED,0.0000
53.433,00:53.433,blink,dur=222ms depth=0.96,0.9626
56.733,00:56.733,attention,MIDDLE_DISTANCE az=+15.5 el=+9.7 share=0.09,17.5696
57.433,00:57.433,blink,dur=184ms depth=0.97,0.9744
58.500,00:58.500,attention,LENS az=-0.8 el=-0.2 share=0.00,19.0584
62.300,01:02.300,blink,dur=167ms depth=0.98,0.9829
62.600,01:02.600,blink,dur=155ms depth=1.00,0.9951
62.900,01:02.900,expression,brow_lift peak=0.141 dur=2.45s,0.1410
65.933,01:05.933,blink,dur=196ms depth=0.97,0.9680
66.967,01:06.967,head_pitch,"to=(+1.84,-0.20,+0.66)deg dur=0.83s",1.3409
69.333,01:09.333,attention,MAIN_DISPLAY az=-2.1 el=-5.1 share=0.00,5.0785
73.033,01:13.033,blink,dur=257ms depth=0.97,0.9690
75.167,01:15.167,blink,dur=158ms depth=0.98,0.9803
76.000,01:16.000,attention,SECOND_DISPLAY az=-21.3 el=-4.3 share=0.21,19.1914
76.467,01:16.467,head_yaw,"to=(+0.84,-0.86,+0.67)deg dur=0.73s",0.9928
77.867,01:17.867,attention,LENS az=-0.3 el=+0.1 share=0.00,21.4305
81.567,01:21.567,blink,dur=183ms depth=0.98,0.9809
83.967,01:23.967,head_pitch,"to=(+1.07,+0.56,+0.63)deg dur=0.86s",1.4217
85.100,01:25.100,blink,dur=153ms depth=0.96,0.9621
85.433,01:25.433,attention,MIDDLE_DISTANCE az=+9.0 el=+9.2 share=0.00,13.0442
88.033,01:28.033,blink,dur=252ms depth=0.98,0.9807
88.633,01:28.633,attention,LENS az=+0.2 el=+0.6 share=0.00,12.3696
91.767,01:31.767,head_yaw,"to=(-0.38,+0.61,+0.11)deg dur=0.87s",1.4433
91.833,01:31.833,state_change,IDLE_RELAXED -> IDLE_ATTENTIVE,0.0000
93.267,01:33.267,blink,dur=180ms depth=0.98,0.9758
93.400,01:33.400,expression,brow_tension peak=0.160 dur=2.44s,0.1603
93.600,01:33.600,posture_shift,"to=(+0.0009,+0.0006) dur=2.19s",0.0177
94.833,01:34.833,attention,CHAT az=+20.8 el=-5.1 share=0.20,21.3904
96.467,01:36.467,blink_partial,dur=187ms depth=0.65,0.6513
96.800,01:36.800,attention,MAIN_DISPLAY az=-2.1 el=-5.0 share=0.00,22.9087
100.333,01:40.333,blink,dur=213ms depth=0.99,0.9867
101.833,01:41.833,expression,cheek_tension peak=0.186 dur=2.33s,0.1865
106.967,01:46.967,head_yaw,"to=(-2.92,+0.37,+0.34)deg dur=1.21s",2.5414
108.667,01:48.667,attention,LENS az=-0.2 el=+0.8 share=0.00,6.1601
113.633,01:53.633,attention,DESK az=-5.4 el=-16.9 share=0.00,18.5222
114.833,01:54.833,attention,LENS az=-0.3 el=+1.0 share=0.00,18.6499
116.533,01:56.533,expression,jaw_release peak=0.305 dur=2.00s,0.3051
122.233,02:02.233,attention,CHAT az=+18.6 el=-5.9 share=0.15,20.1029
122.533,02:02.533,blink,dur=170ms depth=0.96,0.9645
125.867,02:05.867,attention,MAIN_DISPLAY az=-2.6 el=-4.2 share=0.00,21.2340
128.633,02:08.633,blink,dur=165ms depth=0.98,0.9765
131.600,02:11.600,attention,LENS az=+0.2 el=+0.8 share=0.00,5.7300
132.267,02:12.267,blink,dur=202ms depth=0.98,0.9845
132.467,02:12.467,expression,brow_tension peak=0.173 dur=2.30s,0.1733
134.600,02:14.600,attention,SECOND_DISPLAY az=-22.5 el=-4.7 share=0.23,23.3015
134.967,02:14.967,head_yaw,"to=(+0.20,+1.90,+0.33)deg dur=1.39s",3.1144
135.967,02:15.967,blink,dur=248ms depth=0.97,0.9718
136.100,02:16.100,attention,MIDDLE_DISTANCE az=+10.0 el=+6.8 share=0.00,34.4927
136.300,02:16.300,double_blink_second,dur=202ms depth=0.97,0.9726
138.733,02:18.733,blink,dur=155ms depth=0.97,0.9702
145.000,02:25.000,attention,LENS az=-1.2 el=+0.3 share=0.00,12.9576
145.033,02:25.033,blink,dur=209ms depth=0.98,0.9837
151.567,02:31.567,head_yaw,"to=(+2.98,+1.56,-0.16)deg dur=1.29s",2.7860
153.433,02:33.433,attention,MAIN_DISPLAY az=-2.0 el=-6.1 share=0.00,6.4444
154.533,02:34.533,blink,dur=189ms depth=0.96,0.9640
157.433,02:37.433,attention,LENS az=-0.9 el=-0.0 share=0.00,6.1614
157.700,02:37.700,expression,eye_engage peak=0.123 dur=1.78s,0.1229
164.300,02:44.300,posture_shift,"to=(-0.0055,+0.0053) dur=2.21s",0.0111
164.700,02:44.700,attention,DESK az=-6.2 el=-18.8 share=0.00,19.5578
165.567,02:45.567,blink,dur=196ms depth=0.97,0.9658
167.467,02:47.467,attention,LENS az=-0.6 el=+0.6 share=0.00,20.2537
170.667,02:50.667,attention,MIDDLE_DISTANCE az=+10.6 el=+8.7 share=0.00,13.8126
170.933,02:50.933,blink,dur=214ms depth=0.99,0.9875
171.133,02:51.133,head_yaw,"to=(+0.78,+0.77,-0.35)deg dur=1.11s",2.2011
175.567,02:55.567,expression,mouth_settle peak=0.218 dur=2.13s,0.2177
175.633,02:55.633,blink,dur=160ms depth=1.00,0.9977
175.900,02:55.900,double_blink_second,dur=221ms depth=0.99,0.9926
177.533,02:57.533,blink,dur=250ms depth=1.00,0.9969
178.567,02:58.567,blink_partial,dur=190ms depth=0.67,0.6747
179.000,02:59.000,attention,MAIN_DISPLAY az=-1.6 el=-4.0 share=0.00,17.6197
179.700,02:59.700,blink,dur=212ms depth=0.99,0.9944
180.267,03:00.267,attention,LENS az=+0.4 el=+0.6 share=0.00,5.0144
182.600,03:02.600,head_yaw,"to=(-1.07,+1.10,-0.17)deg dur=0.99s",1.8491
185.067,03:05.067,blink,dur=250ms depth=0.98,0.9813
185.300,03:05.300,head_yaw,"to=(-0.18,+0.56,+0.00)deg dur=0.69s",0.8852
186.833,03:06.833,state_change,IDLE_ATTENTIVE -> FOCUSED,0.0000
190.800,03:10.800,blink,dur=185ms depth=0.96,0.9627
191.367,03:11.367,attention,SECOND_DISPLAY az=-19.1 el=-1.9 share=0.16,19.6279
193.567,03:13.567,expression,brow_tension peak=0.149 dur=1.46s,0.1490
194.133,03:14.133,blink,dur=261ms depth=0.96,0.9614
194.767,03:14.767,state_change,FOCUSED -> IDLE_ATTENTIVE,0.0000
195.300,03:15.300,attention,LENS az=-0.3 el=+0.2 share=0.00,18.8917
196.667,03:16.667,posture_shift,"to=(-0.0108,+0.0028) dur=1.34s",0.0078
202.967,03:22.967,attention,MAIN_DISPLAY az=-2.9 el=-5.7 share=0.00,6.4416
206.000,03:26.000,expression,mouth_settle peak=0.272 dur=1.67s,0.2718
208.500,03:28.500,attention,CHAT az=+16.6 el=-5.6 share=0.11,19.4604
208.767,03:28.767,head_yaw,"to=(+1.49,+0.56,-1.13)deg dur=0.94s",1.6696
210.400,03:30.400,attention,MIDDLE_DISTANCE az=+11.7 el=+9.1 share=0.01,15.4386
214.800,03:34.800,blink,dur=151ms depth=0.97,0.9712
214.867,03:34.867,attention,LENS az=+0.2 el=-0.3 share=0.00,14.8847
216.400,03:36.400,head_roll,"to=(+0.83,+1.22,-0.31)deg dur=0.67s",0.8210
219.000,03:39.000,posture_shift,"to=(+0.0154,+0.0049) dur=2.12s",0.0283
221.467,03:41.467,blink_partial,dur=338ms depth=0.84,0.8428
222.433,03:42.433,attention,MAIN_DISPLAY az=-2.0 el=-4.3 share=0.00,4.5859
224.367,03:44.367,blink,dur=217ms depth=0.99,0.9866
225.400,03:45.400,expression,cheek_tension peak=0.129 dur=1.43s,0.1288
227.533,03:47.533,attention,LENS az=+0.7 el=+0.5 share=0.00,5.5066
228.333,03:48.333,blink,dur=207ms depth=0.99,0.9915
230.933,03:50.933,attention,CHAT az=+15.0 el=-5.4 share=0.08,15.5032
231.533,03:51.533,head_pitch,"to=(+0.62,-2.00,+0.64)deg dur=1.43s",3.2196
231.600,03:51.600,blink,dur=178ms depth=0.98,0.9839
233.933,03:53.933,blink,dur=229ms depth=0.97,0.9660
236.300,03:56.300,attention,MAIN_DISPLAY az=-3.5 el=-4.0 share=0.00,18.5987
238.033,03:58.033,blink,dur=219ms depth=0.99,0.9948
241.500,04:01.500,head_yaw,"to=(+2.54,-1.35,+0.04)deg dur=1.02s",1.9276
242.767,04:02.767,attention,LENS az=+0.4 el=+0.7 share=0.00,6.1256
246.567,04:06.567,state_change,IDLE_ATTENTIVE -> MILD_POSITIVE,0.0000
248.900,04:08.900,blink_partial,dur=242ms depth=0.74,0.7444
249.233,04:09.233,state_change,MILD_POSITIVE -> IDLE_ATTENTIVE,0.0000
249.567,04:09.567,attention,SECOND_DISPLAY az=-19.7 el=-4.1 share=0.17,20.6650
250.967,04:10.967,blink,dur=172ms depth=1.00,0.9997
253.833,04:13.833,attention,LENS az=-0.7 el=+0.7 share=0.00,19.6445
253.933,04:13.933,blink,dur=211ms depth=0.99,0.9851
256.433,04:16.433,blink_partial,dur=207ms depth=0.79,0.7919
257.567,04:17.567,head_yaw,"to=(+1.45,-0.54,-0.26)deg dur=0.76s",1.0920
261.633,04:21.633,blink,dur=176ms depth=0.97,0.9734
261.700,04:21.700,attention,MAIN_DISPLAY az=-0.6 el=-3.9 share=0.00,4.5863
263.167,04:23.167,expression,eye_engage peak=0.144 dur=1.15s,0.1439
264.867,04:24.867,posture_shift,"to=(-0.0124,-0.0063) dur=2.37s",0.0390
