t_seconds,timestamp,kind,detail,magnitude
0.033,00:00.033,attention,CHAT az=+19.0 el=-7.7 share=0.16,20.7301
1.767,00:01.767,attention,LENS az=+0.4 el=+0.2 share=0.00,20.1808
4.067,00:04.067,blink,dur=212ms depth=0.99,0.9867
5.500,00:05.500,attention,MAIN_DISPLAY az=-1.7 el=-4.1 share=0.00,4.8291
8.733,00:08.733,head_yaw,"to=(+2.74,-0.07,+0.00)deg dur=1.28s",2.7383
10.867,00:10.867,blink,dur=237ms depth=0.98,0.9801
12.900,00:12.900,attention,MIDDLE_DISTANCE az=+10.1 el=+8.2 share=0.00,17.0500
14.467,00:14.467,attention,MAIN_DISPLAY az=-2.9 el=-5.8 share=0.00,19.1403
17.467,00:17.467,blink,dur=198ms depth=0.97,0.9700
17.767,00:17.767,blink,dur=255ms depth=0.99,0.9934
19.100,00:19.100,attention,LENS az=-0.3 el=+0.8 share=0.00,7.1775
21.033,00:21.033,head_yaw,"to=(+4.11,+0.56,+0.18)deg dur=0.85s",1.3737
25.000,00:25.000,attention,CHAT az=+17.1 el=-7.3 share=0.12,19.1444
26.500,00:26.500,attention,LENS az=-0.4 el=+0.4 share=0.00,19.0700
26.800,00:26.800,expression,eye_engage peak=0.160 dur=1.68s,0.1598
29.033,00:29.033,attention,MAIN_DISPLAY az=-0.5 el=-3.5 share=0.00,3.8564
31.300,00:31.300,attention,LENS az=-0.2 el=+0.3 share=0.00,3.7987
38.200,00:38.200,head_yaw,"to=(+1.65,+0.08,-0.71)deg dur=1.19s",2.4654
45.500,00:45.500,attention,MIDDLE_DISTANCE az=+10.2 el=+5.7 share=0.00,11.7038
45.767,00:45.767,posture_shift,"to=(-0.0050,+0.0097) dur=2.25s",0.0147
47.600,00:47.600,attention,MAIN_DISPLAY az=-3.7 el=-4.3 share=0.00,17.0902
50.067,00:50.067,head_roll,"to=(+0.89,+0.44,+0.66)deg dur=0.84s",1.3655
50.200,00:50.200,blink,dur=215ms depth=0.96,0.9644
50.300,00:50.300,state_change,IDLE_ATTENTIVE -> FOCUSED,0.0000
50.467,00:50.467,blink,dur=165ms depth=0.98,0.9840
56.267,00:56.267,attention,LENS az=+0.3 el=+0.3 share=0.00,6.0909
60.067,01:00.067,attention,MIDDLE_DISTANCE az=+7.1 el=+8.2 share=0.00,10.4383
61.967,01:01.967,expression,brow_tension peak=0.136 dur=1.97s,0.1361
63.667,01:03.667,blink,dur=241ms depth=0.99,0.9947
64.933,01:04.933,head_yaw,"to=(+4.53,+0.89,+0.95)deg dur=1.56s",3.6431
68.833,01:08.833,blink,dur=192ms depth=0.97,0.9726
70.133,01:10.133,attention,MAIN_DISPLAY az=-0.5 el=-4.8 share=0.00,15.0308
74.500,01:14.500,attention,LENS az=-0.4 el=+0.4 share=0.00,5.1240
77.033,01:17.033,blink,dur=223ms depth=0.98,0.9792
79.600,01:19.600,attention,MAIN_DISPLAY az=-2.9 el=-4.8 share=0.00,5.7122
83.467,01:23.467,blink,dur=211ms depth=0.99,0.9851
84.167,01:24.167,attention,LENS az=+0.1 el=+0.6 share=0.00,6.1596
86.600,01:26.600,state_change,FOCUSED -> READING,0.0000
88.000,01:28.000,attention,MAIN_DISPLAY az=-2.2 el=-4.7 share=0.00,5.8084
90.733,01:30.733,attention,CHAT az=+15.1 el=-6.6 share=0.08,17.3998
92.033,01:32.033,blink,dur=175ms depth=0.97,0.9700
94.300,01:34.300,attention,DESK az=-7.6 el=-17.2 share=0.00,25.0754
95.700,01:35.700,attention,MAIN_DISPLAY az=-3.5 el=-4.6 share=0.00,13.1800
101.167,01:41.167,state_change,READING -> IDLE_RELAXED,0.0000
104.200,01:44.200,attention,LENS az=-0.1 el=+0.5 share=0.00,6.2386
108.167,01:48.167,expression,jaw_release peak=0.123 dur=1.96s,0.1230
113.567,01:53.567,attention,SECOND_DISPLAY az=-17.7 el=-4.8 share=0.13,18.4271
115.300,01:55.300,attention,LENS az=-0.4 el=+0.0 share=0.00,17.9936
115.533,01:55.533,posture_shift,"to=(+0.0065,-0.0145) dur=1.66s",0.0357
120.533,02:00.533,head_yaw,"to=(+1.41,+1.85,+0.04)deg dur=1.40s",3.1221
123.767,02:03.767,attention,DESK az=-2.5 el=-15.9 share=0.00,16.0877
125.500,02:05.500,attention,MAIN_DISPLAY az=-1.0 el=-4.3 share=0.00,11.7614
