t_seconds,timestamp,kind,detail,magnitude
0.033,00:00.033,attention,MAIN_MONITOR_LEFT az=-12.6 el=-11.5 share=0.57,17.4384
0.600,00:00.600,subfixation,MAIN_MONITOR_LOWER az=-3.1 el=-19.9 share=0.70,12.6235
3.000,00:03.000,subfixation,MAIN_MONITOR_RIGHT az=+6.2 el=-13.3 share=0.49,11.3921
3.833,00:03.833,attention,MAIN_MONITOR_UPPER az=-4.5 el=-5.6 share=0.13,13.1833
5.133,00:05.133,expression,mouth_settle peak=0.257 dur=1.95s,0.2571
5.300,00:05.300,blink,dur=150ms depth=0.98,0.9787
6.467,00:06.467,attention,CAMERA_LENS az=+0.5 el=+0.9 share=0.00,8.1612
11.167,00:11.167,blink,dur=150ms depth=0.98,0.9811
12.700,00:12.700,blink_partial,dur=191ms depth=0.69,0.6865
14.133,00:14.133,state_change,IDLE_ATTENTIVE -> FOCUSED,0.0000
14.133,00:14.133,expression_emotion,FOCUSED,0.6792
14.300,00:14.300,attention,MAIN_MONITOR_CENTER az=-4.1 el=-11.4 share=0.54,13.0967
16.600,00:16.600,subfixation,MAIN_MONITOR_LEFT az=-15.6 el=-12.5 share=0.83,11.5608
17.967,00:17.967,subfixation,MAIN_MONITOR_LOWER az=-7.9 el=-18.6 share=0.88,9.7941
19.633,00:19.633,attention,MAIN_MONITOR_CENTER az=-3.4 el=-12.1 share=0.57,7.8987
20.233,00:20.233,posture_shift,"to=(-0.0165,-0.0030) dur=2.50s",0.0195
20.833,00:20.833,subfixation,MAIN_MONITOR_RIGHT az=+8.1 el=-11.7 share=0.59,11.5159
23.633,00:23.633,expression,eye_engage peak=0.115 dur=2.23s,0.1155
24.700,00:24.700,subfixation,MAIN_MONITOR_LOWER az=-6.0 el=-20.7 share=0.88,16.7274
27.600,00:27.600,subfixation,MAIN_MONITOR_RIGHT az=+5.4 el=-11.1 share=0.50,14.9383
28.933,00:28.933,attention,CAMERA_LENS az=-0.6 el=+0.9 share=0.00,13.4220
30.933,00:30.933,head_yaw,"to=(-1.61,-0.42,-0.70)deg dur=0.92s",1.6052
31.433,00:31.433,attention,MAIN_MONITOR_UPPER az=-5.3 el=-6.4 share=0.27,8.7683
32.167,00:32.167,attention,MAIN_MONITOR_CENTER az=-3.9 el=-12.0 share=0.57,5.7351
33.500,00:33.500,blink,dur=201ms depth=0.97,0.9669
33.767,00:33.767,subfixation,MAIN_MONITOR_LOWER az=-4.3 el=-18.0 share=0.81,6.0044
35.033,00:35.033,state_change,FOCUSED -> IDLE_ATTENTIVE,0.0000
35.767,00:35.767,subfixation,MAIN_MONITOR_UPPER az=-4.8 el=-5.6 share=0.15,12.3744
39.500,00:39.500,attention,CAMERA_LENS az=+0.7 el=+1.2 share=0.00,8.7556
46.133,00:46.133,blink,dur=174ms depth=0.97,0.9730
48.033,00:48.033,blink,dur=202ms depth=0.97,0.9651
