t_seconds,timestamp,kind,detail,magnitude
0.033,00:00.033,attention,CHAT_REGION az=+28.1 el=-14.0 share=0.88,31.6618
2.600,00:02.600,attention,CAMERA_LENS az=-0.3 el=+0.7 share=0.00,31.9840
4.067,00:04.067,blink,dur=220ms depth=0.99,0.9868
6.633,00:06.633,attention,MAIN_MONITOR_CENTER az=-4.0 el=-12.1 share=0.48,13.3509
8.733,00:08.733,head_yaw,"to=(+1.87,-1.00,-0.23)deg dur=1.00s",1.8748
10.133,00:10.133,blink,dur=283ms depth=0.99,0.9912
11.167,00:11.167,attention,DESK_GENERAL az=+9.7 el=-27.3 share=0.82,20.5433
12.833,00:12.833,attention,SECONDARY_MONITOR az=-32.4 el=-6.3 share=0.88,47.0951
17.633,00:17.633,blink,dur=229ms depth=0.97,0.9731
20.667,00:20.667,attention,KEYBOARD_REGION az=-4.0 el=-36.3 share=0.80,41.3008
21.200,00:21.200,state_change,IDLE_ATTENTIVE -> THINKING,0.0000
21.200,00:21.200,expression_emotion,FOCUSED,0.4905
21.333,00:21.333,blink,dur=231ms depth=0.98,0.9795
21.667,00:21.667,double_blink_second,dur=150ms depth=1.00,0.9982
23.067,00:23.067,attention,DESK_MOUSE az=-14.4 el=-29.8 share=0.58,12.2016
23.533,00:23.533,state_change,THINKING -> IDLE_RELAXED,0.0000
24.333,00:24.333,head_yaw,"to=(-1.17,-1.62,-1.19)deg dur=1.37s",3.0457
24.567,00:24.567,attention,MAIN_MONITOR_CENTER az=-3.9 el=-10.8 share=0.36,21.6387
25.533,00:25.533,blink,dur=190ms depth=0.99,0.9887
26.800,00:26.800,expression,brow_tension peak=0.096 dur=1.59s,0.0959
32.167,00:32.167,blink,dur=175ms depth=0.99,0.9950
35.333,00:35.333,attention,CHAT_REGION az=+27.9 el=-10.9 share=0.83,31.7535
36.967,00:36.967,blink,dur=217ms depth=0.98,0.9849
37.867,00:37.867,head_roll,"to=(-1.49,-1.50,-0.84)deg dur=0.52s",0.3484
41.767,00:41.767,attention,CAMERA_LENS az=+0.7 el=+0.5 share=0.00,29.4564
44.000,00:44.000,attention,SECONDARY_MONITOR az=-32.1 el=-7.6 share=0.87,33.7274
45.400,00:45.400,blink,dur=210ms depth=0.96,0.9631
45.767,00:45.767,posture_shift,"to=(-0.0032,-0.0035) dur=2.37s",0.0067
46.267,00:46.267,attention,CAMERA_LENS az=+0.2 el=+0.5 share=0.00,33.2603
48.900,00:48.900,attention,THINKING_POINT_LEFT az=-23.4 el=+13.8 share=0.68,27.0804
50.967,00:50.967,attention,MAIN_MONITOR_CENTER az=-5.4 el=-11.8 share=0.42,31.3237
51.300,00:51.300,blink,dur=159ms depth=0.97,0.9712
54.167,00:54.167,expression,mouth_settle peak=0.168 dur=2.03s,0.1684
55.367,00:55.367,attention,SECONDARY_MONITOR az=-35.0 el=-9.0 share=0.87,29.7304
56.933,00:56.933,state_change,IDLE_RELAXED -> CHECKING_CHAT,0.0000
57.267,00:57.267,blink,dur=227ms depth=0.99,0.9930
57.500,00:57.500,attention,CHAT_REGION az=+22.3 el=-13.1 share=0.88,57.4637
58.300,00:58.300,head_yaw,"to=(-3.88,-0.09,-0.45)deg dur=1.17s",2.3916
59.633,00:59.633,state_change,CHECKING_CHAT -> IDLE_ATTENTIVE,0.0000
61.733,01:01.733,attention,CAMERA_LENS az=+0.5 el=+1.2 share=0.00,26.0510
64.667,01:04.667,blink,dur=232ms depth=0.99,0.9919
67.800,01:07.800,expression,eye_engage peak=0.179 dur=1.98s,0.1794
68.833,01:08.833,blink,dur=150ms depth=0.98,0.9804
71.067,01:11.067,blink,dur=211ms depth=0.97,0.9693
71.167,01:11.167,attention,KEYBOARD_REGION az=-2.1 el=-33.8 share=0.80,35.0296
72.100,01:12.100,attention,MAIN_MONITOR_LOWER az=-5.3 el=-21.3 share=0.77,12.8974
76.067,01:16.067,attention,SECONDARY_MONITOR az=-30.9 el=-6.4 share=0.88,29.5945
77.633,01:17.633,blink,dur=191ms depth=1.00,0.9971
80.600,01:20.600,attention,THINKING_POINT_LEFT az=-23.7 el=+14.9 share=0.82,22.4712
83.633,01:23.633,state_change,IDLE_ATTENTIVE -> READING,0.0000
84.400,01:24.400,blink_partial,dur=162ms depth=0.81,0.8073
85.133,01:25.133,attention,MAIN_MONITOR_CENTER az=-4.3 el=-11.3 share=0.65,32.6062
91.133,01:31.133,blink,dur=167ms depth=0.97,0.9711
95.300,01:35.300,attention,MAIN_MONITOR_LOWER az=-3.9 el=-17.0 share=0.88,5.6420
99.733,01:39.733,head_yaw,"to=(-2.40,-0.05,-1.33)deg dur=0.88s",1.4810
100.100,01:40.100,attention,MAIN_MONITOR_CENTER az=-2.9 el=-10.6 share=0.57,6.4428
101.400,01:41.400,state_change,READING -> IDLE_ATTENTIVE,0.0000
101.667,01:41.667,posture_shift,"to=(+0.0130,-0.0015) dur=1.86s",0.0181
102.733,01:42.733,blink_partial,dur=182ms depth=0.63,0.6331
104.600,01:44.600,expression,jaw_release peak=0.202 dur=2.34s,0.2022
106.867,01:46.867,attention,CAMERA_LENS az=+0.1 el=+1.1 share=0.00,12.0495
108.200,01:48.200,state_change,IDLE_ATTENTIVE -> WAITING,0.0000
109.233,01:49.233,blink,dur=160ms depth=1.00,0.9980
112.500,01:52.500,attention,MAIN_MONITOR_LOWER az=-5.3 el=-20.1 share=0.77,21.8106
115.567,01:55.567,attention,CAMERA_LENS az=-0.1 el=+0.6 share=0.00,21.3274
118.533,01:58.533,blink,dur=223ms depth=0.97,0.9692
120.700,02:00.700,blink_partial,dur=260ms depth=0.82,0.8202
121.567,02:01.567,attention,DESK_MOUSE az=-15.3 el=-29.1 share=0.87,33.4014
122.967,02:02.967,state_change,WAITING -> IDLE_ATTENTIVE,0.0000
123.333,02:03.333,blink_partial,dur=169ms depth=0.71,0.7061
123.733,02:03.733,attention,CHAT_REGION az=+28.9 el=-11.9 share=0.88,47.5016
125.300,02:05.300,attention,MAIN_MONITOR_LOWER az=-4.5 el=-20.2 share=0.73,34.4827
126.300,02:06.300,blink,dur=198ms depth=0.98,0.9790
126.633,02:06.633,double_blink_second,dur=240ms depth=0.97,0.9711
128.100,02:08.100,attention,KEYBOARD_REGION az=-3.4 el=-34.7 share=0.80,14.4944
128.567,02:08.567,head_yaw,"to=(-0.16,-0.99,-0.87)deg dur=1.12s",2.2431
129.233,02:09.233,attention,CAMERA_LENS az=-0.3 el=+0.2 share=0.00,34.9720
131.633,02:11.633,blink,dur=279ms depth=0.96,0.9648
132.433,02:12.433,attention,DESK_MOUSE az=-17.3 el=-28.4 share=0.83,33.2294
133.433,02:13.433,attention,SECONDARY_MONITOR az=-31.6 el=-2.4 share=0.88,29.6402
133.567,02:13.567,blink,dur=243ms depth=0.96,0.9633
141.533,02:21.533,blink,dur=233ms depth=0.97,0.9727
143.933,02:23.933,attention,MAIN_MONITOR_LOWER az=-6.1 el=-21.6 share=0.79,31.9131
146.300,02:26.300,head_roll,"to=(+1.39,-1.03,+1.14)deg dur=1.04s",2.0076
146.467,02:26.467,attention,SECONDARY_MONITOR az=-34.5 el=-6.2 share=0.88,32.3421
146.600,02:26.600,blink,dur=150ms depth=0.98,0.9817
147.733,02:27.733,state_change,IDLE_ATTENTIVE -> IDLE_RELAXED,0.0000
149.267,02:29.267,attention,CHAT_REGION az=+26.9 el=-11.0 share=0.81,61.6230
151.600,02:31.600,attention,CAMERA_LENS az=-0.4 el=+1.0 share=0.00,29.8277
152.400,02:32.400,posture_shift,"to=(-0.0145,-0.0019) dur=1.44s",0.0278
152.700,02:32.700,head_yaw,"to=(-1.06,+0.51,-0.13)deg dur=1.18s",2.4433
152.833,02:32.833,blink,dur=226ms depth=0.97,0.9663
153.767,02:33.767,attention,CAMERA_LENS az=+0.1 el=+1.7 share=0.00,0.7768
154.700,02:34.700,blink,dur=273ms depth=0.98,0.9829
159.400,02:39.400,blink,dur=150ms depth=0.97,0.9662
159.600,02:39.600,blink,dur=219ms depth=0.97,0.9743
162.200,02:42.200,blink,dur=193ms depth=1.00,0.9996
164.100,02:44.100,attention,MAIN_MONITOR_CENTER az=-5.0 el=-12.0 share=0.42,14.5880
165.733,02:45.733,blink,dur=211ms depth=0.98,0.9848
171.867,02:51.867,attention,SECONDARY_MONITOR az=-28.7 el=-6.5 share=0.85,24.4095
173.033,02:53.033,posture_shift,"to=(+0.0152,-0.0018) dur=1.73s",0.0298
173.200,02:53.200,state_change,IDLE_RELAXED -> WAITING,0.0000
176.000,02:56.000,attention,CAMERA_LENS az=+0.8 el=+0.6 share=0.00,30.3668
177.400,02:57.400,blink,dur=235ms depth=0.96,0.9638
177.600,02:57.600,posture_shift,SMALL_LEAN_FORWARD,3.9726
177.700,02:57.700,attention,CHAT_REGION az=+24.0 el=-10.2 share=0.88,25.5851
177.800,02:57.800,head_roll,"to=(-1.48,+1.15,+1.26)deg dur=0.85s",1.3908
179.033,02:59.033,attention,MAIN_MONITOR_LOWER az=-3.5 el=-19.7 share=0.75,29.1089
182.067,03:02.067,attention,CAMERA_LENS az=+1.0 el=+1.6 share=0.00,21.7348
184.267,03:04.267,attention,DESK_MOUSE az=-14.7 el=-30.0 share=0.87,35.2807
188.267,03:08.267,attention,CAMERA_LENS az=-0.0 el=+1.2 share=0.00,34.5223
188.933,03:08.933,expression,cheek_tension peak=0.075 dur=1.68s,0.0747
190.600,03:10.600,blink_partial,dur=246ms depth=0.57,0.5692
195.033,03:15.033,attention,MAIN_MONITOR_CENTER az=-2.3 el=-9.8 share=0.36,11.2942
195.600,03:15.600,blink,dur=243ms depth=0.97,0.9664
199.600,03:19.600,state_change,WAITING -> IDLE_ATTENTIVE,0.0000
203.233,03:23.233,blink,dur=207ms depth=0.97,0.9681
205.867,03:25.867,state_change,IDLE_ATTENTIVE -> READING,0.0000
208.533,03:28.533,head_pitch,"to=(-0.78,-1.65,+0.95)deg dur=1.29s",2.7969
213.567,03:33.567,attention,MAIN_MONITOR_LOWER az=-9.7 el=-20.7 share=0.88,13.1097
217.467,03:37.467,attention,MAIN_MONITOR_CENTER az=-4.6 el=-10.5 share=0.61,11.4111
218.500,03:38.500,expression,brow_tension peak=0.172 dur=1.52s,0.1720
223.133,03:43.133,attention,CHAT_REGION az=+25.7 el=-9.8 share=0.88,30.3325
226.667,03:46.667,blink,dur=194ms depth=0.99,0.9872
227.767,03:47.767,attention,MAIN_MONITOR_LOWER az=-7.0 el=-20.0 share=0.88,34.2340
230.433,03:50.433,state_change,READING -> CHECKING_CHAT,0.0000
230.900,03:50.900,attention,MAIN_MONITOR_CENTER az=-6.1 el=-10.6 share=0.59,9.3849
234.433,03:54.433,attention,CAMERA_LENS az=+0.5 el=+0.8 share=0.00,13.1502
235.833,03:55.833,state_change,CHECKING_CHAT -> IDLE_ATTENTIVE,0.0000
240.167,04:00.167,blink_partial,dur=252ms depth=0.71,0.7067
241.233,04:01.233,attention,MAIN_MONITOR_CENTER az=-2.0 el=-13.7 share=0.53,14.6802
244.800,04:04.800,expression,mouth_settle peak=0.217 dur=2.40s,0.2167
250.533,04:10.533,attention,DESK_MOUSE az=-16.3 el=-30.1 share=0.83,21.8323
251.600,04:11.600,blink,dur=206ms depth=0.97,0.9653
252.233,04:12.233,attention,CHAT_REGION az=+25.3 el=-9.8 share=0.88,46.3179
