t,camera,intention,attention,engagement,eye_l_x,eye_l_y,eye_r_x,eye_r_y,head_x,head_y,neck_x,neck_y,chest_x,chest_y,shoulder_l_x,shoulder_l_y,shoulder_r_x,shoulder_r_y,wrist_l_x,wrist_l_y,wrist_r_x,wrist_r_y,pelvis_x,pelvis_y
0.000,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0002,870.37,248.13,814.12,248.01,897.13,273.97,925.81,349.59,985.06,612.00,1113.78,439.64,768.53,428.33,911.51,650.03,612.67,620.69,983.68,782.82
0.033,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0002,870.38,248.08,814.15,247.95,897.20,273.93,925.86,349.56,985.07,612.00,1113.84,439.60,768.56,428.30,911.52,650.01,612.68,620.67,983.68,782.82
0.067,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0004,870.91,247.76,814.55,247.68,897.39,273.80,925.98,349.49,985.08,612.00,1113.94,439.53,768.61,428.23,911.54,649.97,612.71,620.63,983.68,782.82
0.100,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0005,872.17,246.94,815.46,247.05,897.72,273.56,926.10,349.42,985.09,611.99,1114.06,439.46,768.66,428.16,911.56,649.93,612.75,620.59,983.68,782.82
0.133,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0006,874.82,245.29,817.36,245.79,898.36,273.07,926.34,349.27,985.10,611.99,1114.28,439.32,768.75,428.02,911.61,649.83,612.81,620.49,983.68,782.82
0.167,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0007,878.55,242.97,820.02,244.08,899.10,272.48,926.54,349.15,985.11,611.98,1114.47,439.20,768.83,427.90,911.65,649.76,612.87,620.42,983.68,782.82
0.200,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0007,883.41,239.95,823.53,241.83,899.94,271.75,926.75,349.01,985.12,611.98,1114.67,439.07,768.91,427.77,911.70,649.67,612.93,620.32,983.68,782.82
0.233,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0005,889.02,236.38,827.68,239.09,900.87,270.89,927.04,348.83,985.14,611.98,1114.95,438.90,769.01,427.59,911.77,649.54,613.02,620.20,983.68,782.82
0.267,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0006,894.68,232.63,831.98,236.17,901.71,270.04,927.32,348.66,985.15,611.97,1115.22,438.72,769.12,427.42,911.83,649.43,613.11,620.09,983.68,782.82
0.300,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0007,900.22,228.85,836.34,233.15,902.56,269.15,927.72,348.41,985.17,611.96,1115.60,438.48,769.28,427.18,911.91,649.26,613.23,619.92,983.68,782.82
0.333,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0008,905.07,225.44,840.26,230.41,903.19,268.39,928.07,348.20,985.19,611.96,1115.93,438.27,769.42,426.98,911.99,649.12,613.34,619.78,983.68,782.82
0.367,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0009,908.83,222.51,843.38,228.01,903.66,267.77,928.39,348.00,985.21,611.95,1116.23,438.08,769.54,426.79,912.05,648.99,613.44,619.65,983.68,782.82
0.400,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0010,912.02,220.28,846.11,226.08,904.15,267.20,928.78,347.77,985.24,611.94,1116.61,437.85,769.70,426.56,912.14,648.83,613.56,619.49,983.68,782.82
0.433,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0011,914.22,218.74,848.03,224.71,904.60,266.76,929.16,347.54,985.26,611.94,1116.96,437.63,769.85,426.34,912.22,648.68,613.68,619.34,983.68,782.82
0.467,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0013,915.66,217.72,849.32,223.75,905.16,266.35,929.61,347.28,985.28,611.93,1117.38,437.37,770.03,426.08,912.31,648.50,613.83,619.16,983.68,782.82
0.500,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0015,916.53,217.11,850.12,223.14,905.76,265.98,930.07,347.00,985.31,611.92,1117.82,437.09,770.21,425.81,912.41,648.31,613.98,618.97,983.68,782.82
0.533,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0018,917.36,216.60,850.90,222.62,906.41,265.62,930.57,346.71,985.34,611.91,1118.29,436.80,770.42,425.53,912.52,648.11,614.14,618.77,983.68,782.82
0.567,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0019,917.56,216.58,851.11,222.50,907.02,265.35,931.01,346.45,985.37,611.90,1118.71,436.54,770.59,425.27,912.61,647.92,614.29,618.59,983.68,782.82
0.600,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0020,917.77,216.51,851.34,222.32,907.65,265.06,931.47,346.18,985.40,611.89,1119.15,436.27,770.78,425.00,912.72,647.73,614.45,618.40,983.68,782.82
0.633,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0022,917.98,216.40,851.57,222.10,908.27,264.77,931.94,345.92,985.42,611.89,1119.59,436.00,770.96,424.74,912.82,647.53,614.62,618.21,983.68,782.82
0.667,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0023,918.26,216.29,851.86,221.87,908.90,264.47,932.41,345.64,985.45,611.88,1120.04,435.72,771.15,424.47,912.93,647.33,614.79,618.01,983.68,782.82
0.700,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0024,918.56,216.22,852.18,221.70,909.53,264.18,932.88,345.38,985.47,611.87,1120.48,435.45,771.34,424.20,913.03,647.13,614.96,617.82,983.68,782.82
0.733,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0025,918.94,216.06,852.56,221.43,910.16,263.88,933.35,345.11,985.50,611.86,1120.93,435.17,771.53,423.94,913.14,646.93,615.14,617.62,983.68,782.82
0.767,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0026,919.29,215.87,852.92,221.16,910.79,263.58,933.82,344.84,985.53,611.85,1121.38,434.90,771.72,423.67,913.25,646.73,615.32,617.42,983.68,782.82
0.800,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0026,919.64,215.74,853.28,220.92,911.41,263.28,934.30,344.57,985.55,611.84,1121.84,434.62,771.91,423.40,913.36,646.52,615.50,617.22,983.68,782.82
0.833,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0027,919.93,215.58,853.58,220.69,912.01,263.00,934.75,344.32,985.58,611.84,1122.27,434.36,772.09,423.15,913.46,646.32,615.68,617.02,983.68,782.82
0.867,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0026,920.18,215.51,853.85,220.53,912.57,262.73,935.18,344.07,985.60,611.83,1122.68,434.11,772.26,422.90,913.56,646.13,615.85,616.84,983.68,782.82
0.900,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0026,920.40,215.40,854.09,220.34,913.08,262.50,935.56,343.86,985.62,611.82,1123.05,433.88,772.41,422.69,913.65,645.95,616.01,616.67,983.68,782.82
0.933,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0024,920.57,215.31,854.28,220.19,913.56,262.27,935.94,343.65,985.64,611.82,1123.41,433.67,772.55,422.48,913.74,645.78,616.17,616.50,983.68,782.82
0.967,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0023,920.81,215.24,854.53,220.05,914.00,262.06,936.27,343.46,985.65,611.81,1123.73,433.47,772.68,422.29,913.83,645.63,616.32,616.35,983.68,782.82
1.000,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0022,921.03,215.18,854.77,219.91,914.41,261.87,936.59,343.29,985.67,611.81,1124.04,433.29,772.80,422.11,913.90,645.48,616.45,616.21,983.68,782.82
1.033,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0022,921.09,215.04,854.86,219.73,914.79,261.69,936.88,343.12,985.68,611.80,1124.32,433.12,772.92,421.95,913.97,645.35,616.58,616.08,983.68,782.82
1.067,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0020,921.35,214.98,855.12,219.62,915.18,261.51,937.18,342.96,985.69,611.80,1124.61,432.94,773.03,421.78,914.05,645.21,616.71,615.95,983.68,782.82
1.100,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0019,921.45,214.97,855.23,219.56,915.48,261.38,937.41,342.83,985.70,611.80,1124.83,432.81,773.12,421.65,914.10,645.10,616.81,615.85,983.68,782.82
1.133,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0019,921.79,214.84,855.57,219.36,915.91,261.17,937.75,342.65,985.72,611.79,1125.16,432.61,773.26,421.46,914.19,644.94,616.96,615.70,983.68,782.82
1.167,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0018,921.86,214.81,855.65,219.27,916.09,261.10,937.88,342.57,985.73,611.79,1125.29,432.53,773.31,421.39,914.22,644.88,617.03,615.64,983.68,782.82
1.200,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0016,921.89,214.87,855.70,219.28,916.25,261.03,938.01,342.50,985.73,611.79,1125.42,432.45,773.36,421.31,914.26,644.81,617.09,615.57,983.68,782.82
1.233,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0015,921.96,214.87,855.77,219.25,916.45,260.94,938.16,342.42,985.74,611.79,1125.57,432.37,773.41,421.23,914.29,644.74,617.16,615.50,983.68,782.82
1.267,cam3,IDLE_ATTENTIVE,CHAT_REGION,0.0016,921.83,214.93,855.69,219.26,916.57,260.90,938.26,342.36,985.74,611.78,1125.66,432.31,773.46,421.18,914.32,644.70,617.20,615.46,983.68,782.82
