t,camera,intention,attention,engagement,eye_l_x,eye_l_y,eye_r_x,eye_r_y,head_x,head_y,neck_x,neck_y,chest_x,chest_y,shoulder_l_x,shoulder_l_y,shoulder_r_x,shoulder_r_y,wrist_l_x,wrist_l_y,wrist_r_x,wrist_r_y,pelvis_x,pelvis_y
0.000,cam1,IDLE_ATTENTIVE,CHAT_REGION,0.0002,987.83,250.93,920.60,250.95,953.03,277.89,953.87,352.81,957.90,610.82,1156.79,433.25,753.36,438.01,1145.96,635.42,773.81,635.63,960.00,779.00
0.033,cam1,IDLE_ATTENTIVE,CHAT_REGION,0.0002,987.77,250.88,920.53,250.89,953.03,277.85,953.87,352.77,957.90,610.82,1156.81,433.22,753.35,437.98,1145.96,635.40,773.81,635.61,960.00,779.00
0.067,cam1,IDLE_ATTENTIVE,CHAT_REGION,0.0004,988.04,250.58,920.80,250.62,953.02,277.73,953.87,352.71,957.90,610.82,1156.85,433.16,753.31,437.91,1145.96,635.36,773.82,635.57,960.00,779.00
0.100,cam1,IDLE_ATTENTIVE,CHAT_REGION,0.0005,988.71,249.79,921.49,250.00,952.97,277.50,953.87,352.64,957.90,610.82,1156.89,433.09,753.27,437.84,1145.96,635.32,773.82,635.52,960.00,779.00
0.133,cam1,IDLE_ATTENTIVE,CHAT_REGION,0.0006,990.17,248.21,923.00,248.76,952.87,277.04,953.88,352.50,957.90,610.81,1156.98,432.95,753.19,437.70,1145.96,635.23,773.83,635.42,960.00,779.00
0.167,cam1,IDLE_ATTENTIVE,CHAT_REGION,0.0007,992.22,245.97,925.22,247.09,952.66,276.48,953.88,352.38,957.90,610.81,1157.05,432.84,753.13,437.59,1145.96,635.15,773.84,635.34,960.00,779.00
0.200,cam1,IDLE_ATTENTIVE,CHAT_REGION,0.0007,994.78,243.09,928.10,244.88,952.31,275.79,953.88,352.25,957.90,610.81,1157.13,432.71,753.05,437.46,1145.96,635.06,773.84,635.24,960.00,779.00
0.233,cam1,IDLE_ATTENTIVE,CHAT_REGION,0.0005,997.44,239.68,931.30,242.19,951.76,274.99,953.88,352.08,957.90,610.80,1157.25,432.54,752.94,437.28,1145.96,634.94,773.86,635.11,960.00,779.00
0.267,cam1,IDLE_ATTENTIVE,CHAT_REGION,0.0006,999.74,236.12,934.37,239.35,951.03,274.19,953.88,351.91,957.90,610.80,1157.36,432.38,752.84,437.11,1145.96,634.83,773.87,634.99,960.00,779.00
0.300,cam1,IDLE_ATTENTIVE,CHAT_REGION,0.0007,1001.56,232.54,937.12,236.42,950.14,273.35,953.88,351.68,957.90,610.79,1157.51,432.14,752.71,436.88,1145.96,634.67,773.89,634.82,960.00,779.00
